Filename,MFCC_Extraction_Time_s
../dataset/raw_audio\Actor_06\03-01-06-01-02-01-06.wav,0.0250
../dataset/raw_audio\Actor_06\03-01-06-01-02-02-06.wav,0.0280
../dataset/raw_audio\Actor_06\03-01-06-02-01-01-06.wav,0.0231
../dataset/raw_audio\Actor_06\03-01-06-02-01-02-06.wav,0.0264
../dataset/raw_audio\Actor_06\03-01-06-02-02-01-06.wav,0.0200
../dataset/raw_audio\Actor_06\03-01-06-02-02-02-06.wav,0.0143
../dataset/raw_audio\Actor_06\03-01-07-01-01-01-06.wav,0.0133
../dataset/raw_audio\Actor_06\03-01-07-01-01-02-06.wav,0.0160
../dataset/raw_audio\Actor_06\03-01-07-01-02-01-06.wav,0.0170
../dataset/raw_audio\Actor_06\03-01-07-01-02-02-06.wav,0.0157
../dataset/raw_audio\Actor_06\03-01-07-02-01-01-06.wav,0.0170
../dataset/raw_audio\Actor_06\03-01-07-02-01-02-06.wav,0.0180
../dataset/raw_audio\Actor_06\03-01-07-02-02-01-06.wav,0.0190
../dataset/raw_audio\Actor_06\03-01-07-02-02-02-06.wav,0.0180
../dataset/raw_audio\Actor_06\03-01-08-01-01-01-06.wav,0.0231
../dataset/raw_audio\Actor_06\03-01-08-01-01-02-06.wav,0.0240
../dataset/raw_audio\Actor_06\03-01-08-01-02-01-06.wav,0.0300
../dataset/raw_audio\Actor_06\03-01-08-01-02-02-06.wav,0.0231
